行业名称,RSI超卖阈值,RSI超买阈值,是否要求背离,极端超卖阈值,极端超买阈值,风险等级,备注
农产品加工,33,58,部分,31,60,标准型,中波动行业
饲料,31,59,是,26,70,激进型,高波动行业
渔业,37,59,否,36,59,保守型,低波动行业
种植业,32,57,部分,27,61,标准型,中波动行业
养殖业,36,57,否,36,59,保守型,低波动行业
动物保健Ⅱ,33,64,是,29,70,激进型,高波动行业
化学纤维,36,60,部分,33,61,标准型,中波动行业
化学原料,33,57,部分,31,60,标准型,中波动行业
化学制品,32,57,部分,31,59,标准型,中波动行业
塑料,36,64,是,30,71,激进型,高波动行业
橡胶,34,60,部分,31,64,标准型,中波动行业
农化制品,30,60,是,27,67,激进型,高波动行业
非金属材料Ⅱ,32,55,部分,29,60,标准型,中波动行业
冶钢原料,32,57,部分,28,60,标准型,中波动行业
普钢,34,61,部分,32,66,标准型,中波动行业
特钢Ⅱ,33,58,部分,30,60,标准型,中波动行业
金属新材料,38,64,部分,35,65,标准型,中波动行业
贵金属,45,64,否,44,65,保守型,低波动行业
小金属,37,60,部分,35,64,标准型,中波动行业
工业金属,41,63,否,41,64,保守型,低波动行业
能源金属,30,59,是,25,66,激进型,高波动行业
通用设备,36,63,部分,34,67,标准型,中波动行业
专用设备,36,64,部分,32,67,标准型,中波动行业
轨交设备Ⅱ,39,62,部分,37,66,标准型,中波动行业
工程机械,39,64,部分,37,68,标准型,中波动行业
自动化设备,35,63,部分,32,65,标准型,中波动行业
半导体,38,64,部分,35,67,标准型,中波动行业
其他电子Ⅱ,41,63,部分,38,66,标准型,中波动行业
元件,42,65,部分,38,68,标准型,中波动行业
光学光电子,40,61,否,39,61,保守型,低波动行业
消费电子,41,63,否,40,64,保守型,低波动行业
电子化学品Ⅱ,38,62,否,37,63,保守型,低波动行业
汽车服务,34,57,否,34,58,保守型,低波动行业
汽车零部件,39,63,部分,36,66,标准型,中波动行业
乘用车,39,63,部分,35,66,标准型,中波动行业
商用车,46,65,否,45,66,保守型,低波动行业
计算机设备,35,65,是,30,73,激进型,高波动行业
通信设备,42,68,部分,40,72,标准型,中波动行业
IT服务Ⅱ,36,69,是,33,75,激进型,高波动行业
软件开发,34,68,是,29,74,激进型,高波动行业
白色家电,41,66,部分,37,69,标准型,中波动行业
黑色家电,40,68,是,32,76,激进型,高波动行业
小家电,33,59,部分,31,62,标准型,中波动行业
厨卫电器,36,58,否,36,59,保守型,低波动行业
照明设备Ⅱ,35,58,否,34,59,保守型,低波动行业
家电零部件Ⅱ,37,64,部分,33,68,标准型,中波动行业
食品加工,33,55,否,33,56,保守型,低波动行业
白酒Ⅱ,35,54,否,34,56,保守型,低波动行业
非白酒,33,59,部分,30,61,标准型,中波动行业
饮料乳品,33,61,部分,30,63,标准型,中波动行业
休闲食品,30,62,是,26,66,激进型,高波动行业
调味发酵品Ⅱ,30,57,部分,28,60,标准型,中波动行业
纺织制造,37,59,否,36,59,保守型,低波动行业
服装家纺,32,59,部分,23,62,标准型,中波动行业
饰品,35,61,部分,29,64,标准型,中波动行业
包装印刷,33,63,部分,30,65,标准型,中波动行业
家居用品,35,58,否,34,59,保守型,低波动行业
造纸,34,59,部分,32,63,标准型,中波动行业
文娱用品,33,61,是,28,68,激进型,高波动行业
化学制药,40,62,部分,38,69,标准型,中波动行业
生物制品,33,56,部分,31,59,标准型,中波动行业
医疗器械,35,54,否,34,55,保守型,低波动行业
医药商业,32,57,部分,28,60,标准型,中波动行业
中药Ⅱ,36,60,部分,34,62,标准型,中波动行业
医疗服务,32,58,是,27,66,激进型,高波动行业
电力,40,61,否,40,61,保守型,低波动行业
燃气Ⅱ,43,59,否,42,60,保守型,低波动行业
物流,32,61,是,29,68,激进型,高波动行业
铁路公路,46,62,否,46,63,保守型,低波动行业
房地产开发,34,56,否,34,58,保守型,低波动行业
房地产服务,37,58,否,37,59,保守型,低波动行业
多元金融,35,64,是,32,74,激进型,高波动行业
证券Ⅱ,37,75,是,33,91,极度激进型,高波动行业
保险Ⅱ,37,66,部分,34,69,标准型,中波动行业
贸易Ⅱ,36,57,部分,34,67,标准型,中波动行业
一般零售,35,62,是,30,72,激进型,高波动行业
专业连锁Ⅱ,34,62,是,28,75,激进型,高波动行业
互联网电商,33,62,是,30,74,激进型,高波动行业
专业服务,30,60,是,25,64,激进型,高波动行业
酒店餐饮,32,59,部分,31,63,标准型,中波动行业
通信服务,42,69,部分,38,71,标准型,中波动行业
综合Ⅱ,35,66,是,26,74,激进型,高波动行业
水泥,33,57,部分,31,61,标准型,中波动行业
玻璃玻纤,31,56,部分,27,59,标准型,中波动行业
装修建材,32,56,部分,30,58,标准型,中波动行业
房屋建设Ⅱ,39,60,否,38,61,保守型,低波动行业
装修装饰Ⅱ,34,59,部分,30,63,标准型,中波动行业
基础建设,36,61,部分,33,65,标准型,中波动行业
专业工程,32,61,部分,29,63,标准型,中波动行业
工程咨询服务Ⅱ,38,61,部分,36,63,标准型,中波动行业
电机Ⅱ,39,63,部分,37,66,标准型,中波动行业
其他电源设备Ⅱ,31,65,是,28,70,激进型,高波动行业
光伏设备,31,55,部分,29,58,标准型,中波动行业
风电设备,32,59,部分,29,62,标准型,中波动行业
电池,34,62,是,28,69,激进型,高波动行业
电网设备,40,60,否,39,60,保守型,低波动行业
航天装备Ⅱ,42,62,否,41,64,保守型,低波动行业
航空装备Ⅱ,37,59,部分,35,66,标准型,中波动行业
地面兵装Ⅱ,37,64,是,31,81,激进型,高波动行业
航海装备Ⅱ,43,63,否,42,64,保守型,低波动行业
军工电子Ⅱ,37,61,部分,35,63,标准型,中波动行业
游戏Ⅱ,35,69,是,29,83,极度激进型,高波动行业
广告营销,33,62,是,28,72,激进型,高波动行业
影视院线,36,62,部分,34,70,标准型,中波动行业
数字媒体,34,63,是,29,73,激进型,高波动行业
出版,42,65,是,38,87,激进型,高波动行业
国有大型银行Ⅱ,43,71,部分,38,74,标准型,中波动行业
股份制银行Ⅱ,32,67,是,25,72,激进型,高波动行业
城商行Ⅱ,38,65,是,31,73,激进型,高波动行业
农商行Ⅱ,41,66,部分,39,71,标准型,中波动行业
摩托车及其他,35,68,是,28,72,激进型,高波动行业
煤炭开采,37,62,部分,36,66,标准型,中波动行业
焦炭Ⅱ,27,53,部分,24,57,标准型,中波动行业
油服工程,41,60,否,39,60,保守型,低波动行业
炼化及贸易,38,57,否,37,58,保守型,低波动行业
环境治理,35,63,部分,33,66,标准型,中波动行业
环保设备Ⅱ,33,60,部分,31,63,标准型,中波动行业
个护用品,36,63,是,32,72,激进型,高波动行业
化妆品,33,56,否,33,57,保守型,低波动行业
航空机场,36,58,否,35,59,保守型,低波动行业
航运港口,40,59,否,39,60,保守型,低波动行业
旅游及景区,38,61,否,37,62,保守型,低波动行业
教育,37,61,部分,32,64,标准型,中波动行业
电视广播Ⅱ,37,63,部分,35,67,标准型,中波动行业
默认,35,62,部分,32,65,标准型,动态计算阈值