Stock_number,Stock_name,Initial_weight,Industry,DCF_value_per_share
601088,中国神华,0.05,煤炭开采,45
601225,陕西煤业,0.05,煤炭开采,40
600985,淮北矿业,0.05,煤炭开采,25
002738,中矿资源,0.05,能源金属,100
002466,天齐锂业,0.05,能源金属,75
002460,赣锋锂业,0.05,能源金属,80
000933,神火股份,0.05,煤炭开采,36
000807,云铝股份,0.05,有色金属,25
600079,人福医药,0.05,医药制造,28
603345,安井食品,0.05,食品,128
600900,长江电力,0.05,公用事业,39
000333,美的集团,0.05,家电,138
000651,格力电器,0.05,家电,84
600362,江西铜业,0.05,有色金属,50
300498,温氏股份,0.05,养殖业,20
601318,中国平安,0.05,保险II,85
600989,宝丰能源,0.05,化学原料,18
CASH,现金,0.15,现金,